genre,manga_count
ファンタジー,5023
コメディ,3984
恋愛,3252
アクション,3000
異世界,2246
ギャグ,2118
ドラマ,2013
特典,1955
バトル,1741
学園,1410
フルカラー,1357
ミステリー,1203
エッチ,979
SMARTOON,924
SF,892
広告掲載中,760
アニメ化,759
少年漫画,607
少女漫画,578
アドベンチャー,510
女性漫画,426
青年漫画,390
スポーツ,378
BL,375
歴史,342
4コマ,342
冒険,329
オトナ,316
料理,285
異能力,269
ビジネス,249
小説,237
貴族,237
政治,236
ゲーム,215
タテヨミ,205
生活,177
百合,167
家族,156
動物,148
ハーレム,145
萌え,141
TL,140
社会派,105
刑事,104
大賞,100
エッセイ,99
闇社会,97
ナイトビジネス,97
悪役令嬢,96
ヤンキーアウトロー,96
サブカル,95
ルポ,95
個性派,94
極道,93
Uncategory,76
コミカライズ,76
先行作品,73
ギャンブル,72
KAKAO WEBTOON Studio,70
戦争,70
復讐,69
Kuaikan Comics,68
Daon Creative,66
軍事,60
武侠,58
ライトノベル一般,57
結婚,56
Kakao Page Corp.,55
超自然的,52
タイムスリップ,52
死に戻り,45
人外,43
Uncategorized,43
チート能力,42
芸能,42
子育て,42
芸能界,39
hentai,38
オフィスラブ,37
日常系,35
癒し,35
サッカー,35
時代劇,35
ファミリー,34
世界史,33
ゲーム世界,32
Haksan,30
医療,30
アイドル,29
読者体験,28
調教,26
ギャル,25
妖怪,24
同居,24
心理的,24
ヴァージン,23
Web Comics,22
人情,22
ComiJoy,22
ほのぼの,22
社長,22
時代,21
素人,21
野外,21
OL,21
青春,20
Terapin,20
男性向け,20
Daewon C.I. Inc.,20
女性向け,20
お嬢様,20
NCOMIC,20
温泉,20
お風呂,20
経営者,20
テニス･卓球･バドミントン,20
魔法,19
幽霊,19
CARROTOON,19
女性,19
空手,19
柔道,19
フェチ,19
教養･文芸,19
Mr. Blue,18
C&C Revolution,18
Jaedam Media,18
Kenaz,18
オフィス,18
ハード,18
WAGA COMIC,17
ハードボイルド,17
Yeondam,16
シーモアオリジナル,16
美少女,15
超能力,15
GOLEM FACTORY,15
リーマン,15
ノベル,15
バスケットボール,15
幼馴染,15
車･バイク,15
XIAOMINGTAIJI,14
SEOUL MEDIA COMICS,14
三角関係,14
音楽,14
Toyou’s Dream,14
メガネ,14
寝取られ,14
陸上,13
バイオレンス,13
作家,13
